Company,Crunchbase,Industries,Location,Employee Count,Founded Date,Investor Count,Lead Investor Count,Select Investors,Funding,Round
Count4Paradigm,https://www.crunchbase.com/organization/4paradigm,"Artificial Intelligence, Information Services, Software","Beijing, Beijing, China",501-1000,2014,21.0,7.0,"Sequoia Capital China, Industrial and Commercial Bank of China, China Construction Bank, Bank of China, Genesis Capital",$145 ,7.0
Abnormal Security,https://www.crunchbase.com/organization/abnormal-security,"Cyber Security, Information Technology, Network Security, Security","San Francisco, California, United States",Nov-50,2018,1.0,1.0,Greylock Partners,$24 ,1.0
Affectiva,https://www.crunchbase.com/organization/affectiva,"Artificial Intelligence, Automotive, Digital Marketing, Health Care, Human Resources","Boston, Massachusetts, United States",51-100,2009,16.0,6.0,"Kleiner Perkins Caufield & Byers, Horizons Ventures, Pegasus Tech Ventures, Trend Forward Capital, National Science Foundation",$60 ,7.0
AiFi,https://www.crunchbase.com/organization/aifi-c8f8,"Artificial Intelligence, Computer Vision, Retail Technology, Software","Santa Clara, California, United States",Nov-50,2016,7.0,1.0,"Greylock Partners, Plug and Play Ventures, TransLink Capital, Cervin Ventures, Plug and Play Accelerator",$15 ,2.0
AInnovation,https://www.crunchbase.com/organization/ainnovation,"Artificial Intelligence, B2B, Information Technology, Machine Learning, Software","Haidian, Beijing, China",251-500,18-Mar,6.0,2.0,"China Renaissance, CreditEase Fintech Investment Fund, CICC ALPHA, Sinovation Ventures, Chengwei Capital",$116 ,3.0
Algorithmia,https://www.crunchbase.com/organization/algorithmia,"Artificial Intelligence, Cloud Computing, Developer Tools, Software","Seattle, Washington, United States",Nov-50,2013,11.0,3.0,"Madrona Venture Group, Norwest Venture Partners, Osage University Partners, Rakuten Ventures, Gradient Ventures",$39 ,3.0
ALICE Technologies,https://www.crunchbase.com/organization/alice-technologies,"Construction, Innovation Management, Real Estate, Software","Menlo Park, California, United States",1001-5000,2013,10.0,1.0,"Lightspeed Venture Partners, Blackhorn Ventures, Merus Capital, Foundamental",$10 ,7.0
AMP Robotics,https://www.crunchbase.com/organization/amp-robotics,"Artificial Intelligence, Environmental Engineering, Information Technology, Intelligent Systems, Machine Learning, Recycling, Robotics","Louisville, Colorado, United States",Nov-50,1-Jan-15,6.0,1.0,"Sequoia Capital, Congruent Ventures, BV Investment Partners, Closed Loop Partners, Sidewalk Infrastructure Partners",$23 ,5.0
ArthurAI,https://www.crunchbase.com/organization/arthur-ai,Software,"New York, New York, United States",10-Jan,2018,4.0,2.0,"Index Ventures, Work-Bench, Homebrew, Jerry Yang, Hunter Walk",$3 ,1.0
Atomwise,https://www.crunchbase.com/organization/atomwise,"Artificial Intelligence, Health Care, Machine Learning, Medical, Pharmaceutical","San Francisco, California, United States",Nov-50,2012,17.0,1.0,"Tencent Holdings, Y Combinator, Khosla Ventures, Threshold Ventures, Data Collective",$51 ,6.0
Aurora,https://www.crunchbase.com/organization/aurora-6292,"Automotive, Autonomous Vehicles, Transportation","Palo Alto, California, United States",251-500,2017,12.0,4.0,"T. Rowe Price, Baillie Gifford & Co., CPP Investment Board, Sequoia Capital, Index Ventures",$693 ,3.0
Benson Hill,https://www.crunchbase.com/organization/benson-hill-biosystems,"Agriculture, AgTech, Biotechnology, Cloud Computing, Product Research","St Louis, Missouri, United States",51-100,2012,20.0,7.0,"Google Ventures, Alexandria Venture Investments, S2G Ventures, Prelude Ventures, Mercury Fund",$127 ,10.0
Beyond Limits,https://www.crunchbase.com/organization/beyond-limits,"Artificial Intelligence, Internet of Things, Machine Learning, Software","Glendale, California, United States",101-250,14-Jan,1.0,1.0,"BP Ventures, Xcell Group",$20 ,2.0
Blue Hexagon,https://www.crunchbase.com/organization/blue-hexagon,"Artificial Intelligence, Cyber Security, Machine Learning","San Francisco, California, United States",Nov-50,2017,3.0,2.0,"Benchmark, Altimeter Capital",$37 ,2.0
Bowery Farming,https://www.crunchbase.com/organization/bowery-farming-inc,"Agriculture, Farming, Food and Beverage, Organic Food, Robotics","New York, New York, United States",101-250,2015,22.0,5.0,"Temasek, GGV Capital, Google Ventures, General Catalyst, First Round Capital",$168 ,4.0
BUILT Robotics,https://www.crunchbase.com/organization/built-robotics,"Artificial Intelligence, Autonomous Vehicles, Construction, Industrial Automation, Machine Learning, Robotics","San Francisco, California, United States",Nov-50,2016,8.0,2.0,"New Enterprise Associates, Founders Fund, Fifth Wall Ventures, next47, Presidio Ventures",$48 ,2.0
Butterfly Network,https://www.crunchbase.com/organization/butterfly-network,"Electronics, Health Care, Medical Device, Personal Health, Software","Guilford, Connecticut, United States",101-250,2011,5.0,1.0,"Fidelity Investments, Bill & Melinda Gates Foundation, Fosun Pharmaceutical, Stanford University, Jamie Dinan",$350 ,2.0
C3.ai,https://www.crunchbase.com/organization/c3,"Artificial Intelligence, Big Data, Cloud Computing, Enterprise Applications, Enterprise Software, Machine Learning, PaaS, Predictive Analytics, Software","Redwood City, California, United States",251-500,2009,8.0,2.0,"TPG Growth, Sutter Hill Ventures, Breyer Capital, The Rise Fund, InterWest Partners",$243 ,6.0
Caspar.AI,https://www.crunchbase.com/organization/brain-of-things,"Construction, Intelligent Systems, Operating Systems, Predictive Analytics, Privacy, Property Management, Real Estate, Sustainability","Redwood City, California, United States",51-100,15-Jul,,,,,
Citrine Informatics,https://www.crunchbase.com/organization/citrine-informatics,"Advanced Materials, Analytics, Artificial Intelligence, Big Data, Machine Learning","Redwood City, California, United States",Nov-50,1-Feb-13,11.0,3.0,"Tencent Holdings, Data Collective, Innovation Endeavors, next47, AME Cloud Ventures",$36 ,4.0
ClimaCell,https://www.crunchbase.com/organization/climacell,"Big Data, Environmental Consulting, Software","Boston, Massachusetts, United States",101-250,16-Sep,14.0,5.0,"SoftBank Group, Canaan Partners, Square Peg Capital, JetBlue Technology Ventures, Fontinalis Partners",$71 ,4.0
ComplyAdvantage,https://www.crunchbase.com/organization/comply-advantage,"Artificial Intelligence, Information Services, Information Technology","London, England, United Kingdom",251-500,2014,3.0,2.0,"Index Ventures, Balderton Capital",$38 ,2.0
